Sim,,,,Camera reception,,,,distance,,,,,,
%time,field.data,,,%time,field.data,,,%time,field.data,,,ARUCO + DISTANCE CALCULATION,,SIM – DISTANCE 
1593025747231228113,1593025747032877197,198.351104,,1593025747231750965,1593025747230281114,1.46944,,1593025747290106058,1593025747289397954,0.70784,,59.1168,,256.52096
1593025747340646982,1593025747158980957,181.665792,,1593025747341670989,1593025747340333938,1.336576,,1593025747391400098,1593025747390762090,0.637952,,50.427904,,231.78112
1593025747459085941,1593025747273508056,185.57824,,1593025747460064888,1593025747459474086,0.590848,,1593025747513504981,1593025747512885093,0.61952,,53.411328,,239.377408
1593025747574076890,1593025747394260009,179.81696,,1593025747575431108,1593025747573853969,1.57696,,1593025747628209114,1593025747627408981,0.800512,,53.554432,,233.148672
1593025747684169054,1593025747504722167,179.44704,,1593025747685615062,1593025747684094905,1.520384,,1593025747735671997,1593025747734931945,0.740096,,50.837248,,230.210048
1593025747815965890,1593025747634761962,181.203712,,1593025747817039966,1593025747815586090,1.45408,,1593025747866225004,1593025747865323066,0.901888,,49.737216,,230.561024
1593025747937191963,1593025747750725097,186.466816,,1593025747936659097,1593025747935214042,1.444864,,1593025747990158081,1593025747989265918,0.89216,,54.05184,,238.5408
1593025748058989048,1593025747869416992,189.572096,,1593025748059685945,1593025748058506965,1.179392,,1593025748105356931,1593025748104792118,0.564736,,46.285312,,235.375104
1593025748286906003,1593025748083221191,203.684864,,1593025748287636995,1593025748284230947,3.40608,,1593025748331120014,1593025748330527067,0.593152,,46.29632,,247.305984
1593025748440931081,1593025748251076171,189.854976,,1593025748441385984,1593025748440798997,0.587264,,1593025748493211030,1593025748492628097,0.582912,,51.829248,,241.552128
1593025748562653064,1593025748368742187,193.91104,,1593025748563440084,1593025748562360048,1.080064,,1593025748619940042,1593025748619271039,0.668672,,56.911104,,250.529024
1593025748672889947,1593025748484313964,188.576,,1593025748673401117,1593025748672764062,0.637184,,1593025748725164890,1593025748724617958,0.546816,,51.853824,,240.304128
1593025748779841899,1593025748604674072,175.168,,1593025748779449939,1593025748776638031,2.811904,,1593025748827424049,1593025748826673984,0.75008,,50.035968,,221.999872
1593025748896261930,1593025748717906005,178.356224,,1593025748897319078,1593025748895483016,1.836032,,1593025748951133012,1593025748950531005,0.602368,,55.047936,,232.624896
